Date,Close
2016-03-29,13462.47
2016-03-30,13555.73
2016-03-31,13605.31
2016-04-01,13536.15
2016-04-04,13612.51
2016-04-05,13505.64
2016-04-06,13466.8
2016-04-07,13506.35
2016-04-08,13528.13
2016-04-11,13548.5
2016-04-12,13539.7
2016-04-13,13597.33
2016-04-14,13632.08
2016-04-15,13621.48
2016-04-18,13635.11
2016-04-19,13722.54
2016-04-20,13723.84
2016-04-21,13712.96
2016-04-22,13755.54
2016-04-25,13773.74
2016-04-26,13783.44
2016-04-27,13774.75
2016-04-28,13732.25
2016-04-29,13773.66
2016-05-02,13822.31
2016-05-04,13758.29
2016-05-05,13633.87
2016-05-06,13646.4
2016-05-09,13655.29
2016-05-10,13634.15
2016-05-11,13669.24
2016-05-12,13634.97
2016-05-13,13727.29
2016-05-16,13885.81
2016-05-17,13877.13
2016-05-18,13794.36
2016-05-19,13685.64
2016-05-20,13680.93
2016-05-23,13689.28
2016-05-24,13648.2
2016-05-25,13706.74
2016-05-27,13745.0
2016-05-30,13743.84
2016-05-31,13668.09
2016-06-01,13343.05
2016-06-02,13370.04
2016-06-03,13474.39
2016-06-06,13475.82
2016-06-07,13558.76
2016-06-08,13547.69
2016-06-09,13466.45
2016-06-10,13411.66
2016-06-13,13254.31
2016-06-14,13105.71
2016-06-15,13133.08
2016-06-16,12899.88
2016-06-17,12989.15
2016-06-20,13075.38
2016-06-21,13146.0
2016-06-22,13196.88
2016-06-23,13246.33
2016-06-24,12818.81
2016-06-27,12808.74
2016-06-28,12938.09
2016-06-29,13096.1
2016-06-30,13177.86
2016-07-01,13224.87
2016-07-04,13114.0
2016-07-05,13063.04
2016-07-06,13024.08
2016-07-07,13019.85
2016-07-08,13099.8
2016-07-11,13162.18
2016-07-12,13225.53
2016-07-13,13211.14
2016-07-14,13234.63
2016-07-15,13272.61
2016-07-18,13296.04
2016-07-19,13287.03
2016-07-20,13393.48
2016-07-21,13394.26
2016-07-22,13432.34
2016-07-25,13500.85
2016-07-26,13553.2
2016-07-27,13587.66
2016-07-28,13684.21
2016-07-29,13690.83
2016-08-01,13669.05
2016-08-02,13705.49
2016-08-03,13708.6
2016-08-04,13847.71
2016-08-05,13879.32
2016-08-08,13969.9
2016-08-09,13976.23
2016-08-10,13982.42
2016-08-11,13994.68
2016-08-12,14026.98
2016-08-16,14065.02
2016-08-17,14019.29
2016-08-18,14048.64
2016-08-19,14008.7
2016-08-22,14008.15
2016-08-23,14069.37
2016-08-24,14115.78
2016-08-25,14135.88
2016-08-26,14223.25
2016-08-29,14172.32
2016-08-30,14199.78
2016-08-31,14221.04
2016-09-01,14089.06
2016-09-02,14160.86
2016-09-05,14227.17
2016-09-06,14242.27
2016-09-07,14328.44
2016-09-08,14289.47
2016-09-09,14201.64
2016-09-12,14136.79
2016-09-13,14214.69
2016-09-14,14230.99
2016-09-15,14231.98
2016-09-16,14249.73
2016-09-19,14231.72
2016-09-20,14280.98
2016-09-21,14242.31
2016-09-22,14294.31
2016-09-23,14300.76
2016-09-26,14262.52
2016-09-27,14238.24
2016-09-28,14270.46
2016-09-29,14288.35
2016-09-30,14382.68
2016-10-03,14437.83
2016-10-04,14474.86
2016-10-05,14407.44
2016-10-06,14419.23
2016-10-07,14374.4
2016-10-10,14409.52
2016-10-11,14330.84
2016-10-12,14275.56
2016-10-13,14254.19
2016-10-14,14285.16
2016-10-17,14253.06
2016-10-18,14202.51
2016-10-19,14210.76
2016-10-20,14236.76
2016-10-21,14280.06
2016-10-24,14308.76
2016-10-25,14276.26
2016-10-26,14298.37
2016-10-27,14294.19
2016-10-28,14334.7
2016-10-31,14381.11
2016-11-02,14110.11
2016-11-03,14051.9
2016-11-04,14036.28
2016-11-07,14048.44
2016-11-08,14050.5
2016-11-09,14069.73
2016-11-10,14133.89
2016-11-14,14109.8
2016-11-15,14028.34
2016-11-16,13974.39
2016-11-17,13989.15
2016-11-18,13900.59
2016-11-21,13874.06
2016-11-22,13918.41
2016-11-23,13997.78
2016-11-24,14016.18
2016-11-25,14012.98
2016-11-28,14015.79
2016-11-29,14023.12
2016-11-30,14011.54
2016-12-01,13980.1
2016-12-02,13974.3
2016-12-05,13989.53
2016-12-06,14019.75
2016-12-07,14043.88
2016-12-08,14073.14
2016-12-09,14070.27
2016-12-12,14028.6
2016-12-13,14048.74
