Date,Close
1997-12-31,1000.0
1998-01-05,1019.3
1998-01-06,1011.8
1998-01-07,979.9
1998-01-08,980.9
1998-01-09,964.7
1998-01-12,910.0
1998-01-13,918.9
1998-01-14,925.6
1998-01-15,908.6
1998-01-16,915.0
1998-01-19,940.9
1998-01-20,927.9
1998-01-21,929.0
1998-01-22,912.8
1998-01-23,917.0
1998-01-26,923.8
1998-01-27,919.6
1998-01-28,937.0
1998-01-29,954.9
1998-01-30,966.5
1998-02-02,987.3
1998-02-03,1011.5
1998-02-04,1007.9
1998-02-05,1017.3
1998-02-06,1051.3
1998-02-09,1077.2
1998-02-10,1080.0
1998-02-11,1084.8
1998-02-12,1079.1
1998-02-13,1061.2
1998-02-16,1053.5
1998-02-17,1055.7
1998-02-18,1072.2
1998-02-19,1118.8
1998-02-20,1112.9
1998-02-23,1123.6
1998-02-24,1125.0
1998-02-25,1111.3
1998-02-26,1137.2
1998-02-27,1147.3
1998-03-02,1149.9
1998-03-03,1163.1
1998-03-04,1135.7
1998-03-05,1096.4
1998-03-06,1105.7
1998-03-09,1133.2
1998-03-10,1166.0
1998-03-11,1195.3
1998-03-12,1172.8
1998-03-13,1194.0
1998-03-16,1179.4
1998-03-17,1174.4
1998-03-18,1159.7
1998-03-19,1166.1
1998-03-20,1156.7
1998-03-23,1153.9
1998-03-24,1138.6
1998-03-25,1131.4
1998-03-26,1138.3
1998-03-27,1118.4
1998-03-30,1116.8
1998-03-31,1105.1
1998-04-01,1109.0
1998-04-02,1102.0
1998-04-06,1105.3
1998-04-07,1131.2
1998-04-08,1128.3
1998-04-09,1105.8
1998-04-14,1115.6
1998-04-15,1123.1
1998-04-16,1122.7
1998-04-17,1111.6
1998-04-20,1103.7
1998-04-21,1089.9
1998-04-22,1100.5
1998-04-23,1107.0
1998-04-24,1125.6
1998-04-27,1140.6
1998-04-28,1109.9
1998-04-29,1108.1
1998-04-30,1127.4
1998-05-04,1140.3
1998-05-05,1137.5
1998-05-06,1124.8
1998-05-07,1115.6
1998-05-08,1104.3
1998-05-11,1110.8
1998-05-12,1088.3
1998-05-13,1066.6
1998-05-14,1063.9
1998-05-15,1047.3
1998-05-18,1048.0
1998-05-19,1013.4
1998-05-20,1009.3
1998-05-21,1049.9
1998-05-22,1044.7
1998-05-25,1021.1
1998-05-26,1000.5
1998-05-27,957.6
1998-05-28,930.3
1998-05-29,939.7
1998-06-01,894.0
1998-06-02,863.8
1998-06-03,885.6
1998-06-04,913.0
1998-06-05,929.3
1998-06-06,951.9
1998-06-07,931.9
1998-06-08,897.7
1998-06-15,854.1
1998-06-16,847.8
1998-06-17,899.4
1998-06-18,920.0
1998-06-19,887.8
1998-06-22,893.0
1998-06-23,895.6
1998-06-24,886.6
1998-06-25,890.2
1998-06-26,904.4
1998-06-27,901.5
1998-06-28,921.8
1998-07-01,930.4
1998-07-02,950.4
1998-07-03,955.3
1998-07-06,963.6
1998-07-07,972.6
1998-07-08,972.4
1998-07-09,960.8
1998-07-10,945.6
1998-07-13,962.2
1998-07-14,1008.4
1998-07-15,1010.5
1998-07-16,1000.5
1998-07-17,1028.2
1998-07-20,1017.8
1998-07-21,1027.8
1998-07-22,990.4
1998-07-23,979.4
1998-07-24,984.2
1998-07-27,976.0
1998-07-28,967.2
1998-07-29,949.4
1998-07-30,946.7
1998-07-31,959.9
1998-08-03,924.5
1998-08-04,920.5
1998-08-05,899.2
1998-08-06,904.8
1998-08-07,899.8
1998-08-10,900.1
1998-08-11,882.4
1998-08-12,872.1
1998-08-13,844.0
1998-08-14,847.5
1998-08-17,822.3
1998-08-18,847.9
1998-08-19,868.3
1998-08-20,867.2
1998-08-21,830.8
1998-08-24,813.3
1998-08-25,813.6
1998-08-26,785.1
1998-08-27,734.1
1998-08-28,664.9
1998-08-31,664.2
1998-09-01,622.8
1998-09-02,668.3
1998-09-03,674.0
1998-09-04,673.8
1998-09-07,707.0
1998-09-08,738.9
1998-09-09,753.2
1998-09-10,732.8
1998-09-11,703.2
1998-09-14,730.8
1998-09-15,730.4
1998-09-16,730.5
1998-09-17,709.6
1998-09-18,694.0
1998-09-21,671.1
1998-09-22,701.5
1998-09-23,710.8
1998-09-24,727.9
1998-09-25,708.5
1998-09-28,718.4
1998-09-29,718.5
1998-09-30,695.5
1998-10-01,655.5
1998-10-02,665.5
1998-10-05,651.6
1998-10-06,651.6
1998-10-07,642.4
1998-10-08,617.6
1998-10-09,624.9
1998-10-12,648.2
1998-10-13,638.0
1998-10-14,635.3
1998-10-15,618.8
1998-10-16,646.6
1998-10-19,643.4
1998-10-20,660.6
1998-10-21,666.2
1998-10-22,681.0
1998-10-23,702.6
1998-10-26,709.1
1998-10-27,701.6
1998-10-28,685.3
1998-10-29,694.9
1998-10-30,716.8
1998-11-02,760.2
1998-11-03,738.5
1998-11-04,769.2
1998-11-05,754.5
1998-11-06,754.8
1998-11-09,767.3
1998-11-10,753.7
1998-11-12,750.8
1998-11-13,766.2
1998-11-16,793.6
1998-11-17,757.8
1998-11-18,751.6
1998-11-19,737.9
1998-11-20,744.2
1998-11-23,743.4
1998-11-24,733.8
1998-11-25,734.0
1998-11-26,741.4
1998-11-27,737.9
1998-11-30,730.3
1998-12-01,701.2
1998-12-02,714.6
1998-12-03,720.6
1998-12-04,733.1
1998-12-07,741.9
1998-12-08,736.7
1998-12-09,739.6
1998-12-10,743.4
1998-12-11,727.0
1998-12-14,718.9
1998-12-15,726.5
1998-12-16,731.2
1998-12-17,725.2
1998-12-18,734.9
1998-12-21,744.7
1998-12-22,765.0
1998-12-23,773.4
1998-12-28,799.3
1998-12-29,773.8
1998-12-30,777.9
1998-12-31,787.4
1999-01-04,813.1
1999-01-05,803.4
1999-01-06,853.5
1999-01-07,840.0
1999-01-08,875.2
1999-01-11,844.6
1999-01-12,823.1
1999-01-13,762.1
1999-01-14,781.7
1999-01-15,780.9
1999-01-18,817.9
1999-01-19,819.0
1999-01-20,822.8
1999-01-21,833.0
1999-01-22,802.5
1999-01-25,801.2
1999-01-26,814.7
1999-01-27,825.4
1999-01-28,837.6
1999-01-29,850.8
1999-02-01,851.6
1999-02-02,841.1
1999-02-03,851.8
1999-02-04,857.7
1999-02-05,840.2
1999-02-08,848.9
1999-02-09,828.8
1999-02-10,824.2
1999-02-11,837.1
1999-02-12,841.2
1999-02-15,850.2
1999-02-16,849.6
1999-02-17,836.6
1999-02-18,839.4
1999-02-19,839.0
1999-02-22,838.0
1999-02-23,825.9
1999-02-24,820.6
1999-02-25,794.2
1999-02-26,804.5
1999-03-01,797.7
1999-03-02,804.5
1999-03-03,795.9
1999-03-04,785.0
1999-03-05,803.8
1999-03-08,816.9
1999-03-09,824.1
1999-03-10,826.4
1999-03-11,831.2
1999-03-12,843.0
1999-03-15,830.2
1999-03-16,830.2
1999-03-17,832.3
1999-03-18,826.5
1999-03-19,851.9
1999-03-22,858.7
1999-03-23,832.4
1999-03-24,811.9
1999-03-25,823.2
1999-03-26,823.6
1999-03-29,826.9
1999-03-30,827.8
1999-03-31,840.2
1999-04-01,850.7
1999-04-06,871.7
1999-04-07,871.3
1999-04-08,851.3
1999-04-09,855.8
1999-04-12,845.7
1999-04-13,845.9
1999-04-14,841.5
1999-04-15,835.6
1999-04-16,845.7
1999-04-19,880.6
1999-04-20,855.2
1999-04-21,860.5
1999-04-22,872.7
1999-04-23,864.7
1999-04-26,875.0
1999-04-27,877.2
1999-04-28,866.3
1999-04-29,867.2
1999-04-30,875.1
1999-05-04,875.5
1999-05-05,864.6
1999-05-06,876.2
1999-05-07,875.2
1999-05-10,863.2
1999-05-11,869.0
1999-05-12,858.9
1999-05-13,865.6
1999-05-14,850.4
1999-05-17,866.5
1999-05-18,886.7
1999-05-19,897.9
1999-05-20,908.5
1999-05-21,909.7
1999-05-24,917.4
1999-05-25,907.4
1999-05-26,921.5
1999-05-27,921.9
1999-05-28,915.3
1999-05-31,912.8
1999-06-01,927.5
1999-06-02,926.3
1999-06-07,939.4
1999-06-08,939.7
1999-06-09,956.5
1999-06-10,970.2
1999-06-11,1003.7
1999-06-14,1024.6
1999-06-15,1003.6
1999-06-16,1010.4
1999-06-17,999.7
1999-06-18,1003.5
1999-06-21,1003.7
1999-06-22,983.5
1999-06-23,981.0
1999-06-24,981.9
1999-06-25,992.8
1999-06-28,995.5
1999-06-29,989.6
1999-06-30,995.6
1999-07-01,1025.3
1999-07-02,1047.8
1999-07-05,1056.8
1999-07-06,1042.5
1999-07-07,1031.0
1999-07-08,1034.6
1999-07-09,1043.1
1999-07-12,1043.0
1999-07-13,1019.3
1999-07-14,1028.4
1999-07-15,1018.5
1999-07-16,1018.4
1999-07-19,1014.9
1999-07-20,1004.6
1999-07-21,994.9
1999-07-22,994.6
1999-07-23,1026.6
1999-07-26,996.4
1999-07-27,1005.4
1999-07-28,1018.2
1999-07-29,1009.7
1999-07-30,1030.9
1999-08-02,1033.3
1999-08-03,1026.8
1999-08-04,1017.2
1999-08-05,1000.3
1999-08-06,989.7
1999-08-09,979.6
1999-08-10,967.7
1999-08-11,994.3
1999-08-12,1000.2
1999-08-13,1012.4
1999-08-16,1013.6
1999-08-17,1005.2
1999-08-18,1001.3
1999-08-19,996.6
1999-08-20,1010.3
1999-08-23,1018.1
1999-08-24,1022.3
1999-08-25,1036.3
1999-08-26,1034.0
1999-08-27,1039.0
1999-08-30,1036.8
1999-08-31,1020.2
1999-09-01,1025.7
1999-09-02,1010.7
1999-09-03,1027.9
1999-09-06,1029.9
1999-09-07,1021.2
1999-09-08,1001.0
1999-09-09,1008.0
1999-09-10,999.8
1999-09-13,985.7
1999-09-14,959.3
1999-09-15,954.4
1999-09-16,936.8
1999-09-17,946.4
1999-09-20,929.3
1999-09-21,910.8
1999-09-22,896.2
1999-09-23,901.5
1999-09-24,862.9
1999-09-27,870.1
1999-09-28,856.6
1999-09-29,854.3
1999-09-30,854.9
1999-10-01,865.9
1999-10-04,881.8
1999-10-05,891.9
1999-10-06,900.2
1999-10-07,906.4
1999-10-08,907.8
1999-10-11,898.2
1999-10-12,886.5
1999-10-13,885.8
1999-10-14,896.4
1999-10-15,879.1
1999-10-18,878.1
1999-10-19,890.5
1999-10-20,907.5
1999-10-21,905.3
1999-10-22,915.6
1999-10-25,911.2
1999-10-26,905.2
1999-10-27,897.6
1999-10-28,903.4
1999-10-29,912.1
1999-11-02,909.4
1999-11-03,906.9
1999-11-04,893.3
1999-11-05,885.2
1999-11-08,875.4
1999-11-09,879.1
1999-11-10,877.5
1999-11-15,881.6
1999-11-16,886.5
1999-11-17,894.8
1999-11-18,911.6
1999-11-19,945.3
1999-11-22,956.2
1999-11-23,946.4
1999-11-24,960.4
1999-11-25,977.9
1999-11-26,967.6
1999-11-29,944.4
1999-11-30,966.7
1999-12-01,985.6
1999-12-02,971.6
1999-12-03,969.9
1999-12-06,971.0
1999-12-07,981.8
1999-12-08,994.1
1999-12-09,1014.0
1999-12-10,1018.1
1999-12-13,1034.6
1999-12-14,1024.1
1999-12-15,1012.4
1999-12-16,1024.4
1999-12-17,1041.4
1999-12-20,1058.8
1999-12-21,1064.2
1999-12-22,1087.0
1999-12-23,1113.7
1999-12-27,1118.7
1999-12-28,1093.6
1999-12-29,1114.8
2000-01-03,1140.1
2000-01-04,1103.8
2000-01-05,1086.1
2000-01-06,1105.3
2000-01-07,1147.8
2000-01-10,1179.1
2000-01-11,1173.8
2000-01-12,1160.7
2000-01-13,1184.2
2000-01-14,1177.9
2000-01-17,1189.6
2000-01-18,1170.6
2000-01-19,1162.1
2000-01-20,1174.4
2000-01-21,1193.9
2000-01-24,1180.4
2000-01-25,1152.4
2000-01-26,1161.7
2000-01-27,1173.8
2000-01-28,1164.3
2000-01-31,1156.7
2000-02-01,1169.3
2000-02-02,1184.6
2000-02-03,1246.2
2000-02-04,1246.5
2000-02-07,1240.4
2000-02-08,1234.1
2000-02-09,1199.8
2000-02-10,1174.5
2000-02-11,1166.0
2000-02-14,1162.4
2000-02-15,1167.9
2000-02-16,1176.6
2000-02-17,1204.4
2000-02-18,1187.6
2000-02-21,1156.8
2000-02-22,1160.6
2000-02-23,1145.8
2000-02-24,1118.9
2000-02-25,1089.5
2000-02-28,1053.0
2000-02-29,1072.2
2000-03-01,1090.2
2000-03-02,1109.3
2000-03-03,1141.9
2000-03-06,1143.4
2000-03-07,1148.2
2000-03-08,1128.4
2000-03-09,1140.4
2000-03-10,1141.8
2000-03-13,1093.4
2000-03-14,1126.8
2000-03-15,1112.1
2000-03-16,1130.0
2000-03-17,1132.1
2000-03-20,1145.2
2000-03-21,1140.3
2000-03-22,1157.0
2000-03-23,1174.5
2000-03-24,1200.3
2000-03-27,1203.9
2000-03-28,1222.7
2000-03-29,1214.4
2000-03-30,1181.1
2000-03-31,1185.1
2000-04-03,1175.3
2000-04-04,1177.0
2000-04-05,1147.7
2000-04-06,1173.9
2000-04-07,1185.8
2000-04-10,1172.6
2000-04-11,1148.2
2000-04-12,1165.0
2000-04-13,1151.7
2000-04-14,1147.0
2000-04-17,1066.9
2000-04-18,1098.3
2000-04-19,1091.6
2000-04-20,1101.1
2000-04-25,1094.8
2000-04-26,1106.8
2000-04-27,1108.3
2000-04-28,1120.7
2000-05-04,1111.5
2000-05-05,1107.3
2000-05-08,1101.0
2000-05-09,1103.5
2000-05-10,1111.1
2000-05-11,1114.1
2000-05-12,1102.9
2000-05-15,1103.1
2000-05-16,1136.3
2000-05-17,1125.6
2000-05-18,1128.3
2000-05-19,1110.2
2000-05-22,1096.6
2000-05-23,1076.3
2000-05-24,1061.1
2000-05-25,1069.1
2000-05-26,1049.6
2000-05-29,1064.7
2000-05-30,1079.1
2000-05-31,1089.2
2000-06-01,1111.7
2000-06-02,1107.7
2000-06-05,1097.7
2000-06-06,1072.9
2000-06-07,1089.1
2000-06-08,1088.7
2000-06-09,1087.4
2000-06-12,1087.1
2000-06-13,1092.0
2000-06-14,1110.5
